time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-14T06:24:07.795Z,-2.9779,136.5153,48.14,4.4,mb,,60,4.261,0.56,us,us6000abkn,2020-07-09T13:11:09.040Z,"120 km ENE of Nabire, Indonesia",earthquake,7.3,7.3,0.101,28,reviewed,us,us
2020-06-14T06:19:07.061Z,19.2392,-155.3952,37.58,2.5,ml,,145,0.094,0.28,us,us6000abkv,2020-07-09T13:01:04.040Z,"9 km ENE of Pāhala, Hawaii",earthquake,2.5,4.3,0.062,34,reviewed,us,us
2020-06-14T05:36:00.870Z,-24.0137,-67.0341,230.73,4.2,mb,,59,1.49,0.59,us,us6000abke,2020-07-09T12:16:56.040Z,"76 km WNW of San Antonio de los Cobres, Argentina",earthquake,10,8.6,0.175,9,reviewed,us,us
2020-06-14T05:35:31.831Z,23.2948,93.7812,62.31,4.8,mb,,55,1.045,0.57,us,us6000abkd,2020-07-09T12:05:31.040Z,"43 km NNE of Falam, Myanmar",earthquake,7.2,6.3,0.04,189,reviewed,us,us
2020-06-14T05:07:05.140Z,19.1695004,-155.4765015,33.5,2.64,ml,55,151,0.08129,0.13,hv,hv71556782,2020-06-14T08:18:11.770Z,"3km S of Pahala, Hawaii",earthquake,0.57,0.72,2.91,34,automatic,hv,hv
2020-06-14T04:57:49.835Z,2.3028,128.4261,35,4.9,mb,,106,1.853,0.81,us,us6000abk5,2020-07-11T05:01:30.460Z,"78 km NE of Tobelo, Indonesia",earthquake,8.1,1.1,0.049,132,reviewed,us,us
2020-06-14T04:22:20.670Z,17.9661,-66.9176,10,2.89,md,23,185,0.0394,0.14,pr,pr2020166005,2020-06-14T05:41:55.512Z,"1km WSW of Guanica, Puerto Rico",earthquake,0.41,0.35,0.23,21,reviewed,pr,pr
2020-06-14T04:14:03.733Z,-6.1534,-107.0514,10,4.3,mb,,157,34.127,0.86,us,us6000abjy,2020-06-23T22:17:35.040Z,"Central East Pacific Rise",earthquake,12.4,1.9,0.099,29,reviewed,us,us
2020-06-14T03:35:19.148Z,-8.9817,124.1386,68.88,5.1,mww,,39,0.779,1.06,us,us6000abjt,2020-07-11T04:58:48.023Z,"36 km NW of Pante Makasar, Timor Leste",earthquake,6.7,1.6,0.089,12,reviewed,us,us
2020-06-14T03:16:16.750Z,17.9806,-66.838,15,2.95,md,23,172,0.0416,0.18,pr,pr2020166006,2020-06-14T05:44:43.648Z,"2km SW of Indios, Puerto Rico",earthquake,0.45,0.4,0.13,20,reviewed,pr,pr
2020-06-14T02:54:06.810Z,17.9293,-66.8486,9,2.82,md,22,209,0.0551,0.14,pr,pr2020166004,2020-06-14T04:39:54.464Z,"6km SE of Maria Antonia, Puerto Rico",earthquake,0.5,0.55,0.2,16,reviewed,pr,pr
2020-06-14T02:39:43.149Z,26.6545,97.0594,10,4.8,mb,,59,3.471,0.76,us,us6000abjj,2020-07-23T21:33:30.040Z,"55 km NNE of Sarupathar, India",earthquake,4.3,1.8,0.042,176,reviewed,us,us
2020-06-14T02:03:52.210Z,17.927,-66.8758,10,2.56,md,18,210,0.0482,0.1,pr,pr2020166003,2020-06-14T02:50:45.865Z,"5km SE of Guanica, Puerto Rico",earthquake,0.48,0.44,0.21,13,reviewed,pr,pr
2020-06-14T01:43:59.019Z,-31.0023,-178.1305,36.29,4.2,mb,,124,1.76,0.5,us,us6000aevg,2020-07-11T04:46:36.040Z,"Kermadec Islands region",earthquake,12.6,5.6,0.199,7,reviewed,us,us
2020-06-14T01:30:37.740Z,-9.1217,-75.212,115.06,4.3,mb,,85,2.839,0.58,us,us6000aevc,2020-07-11T04:45:10.040Z,"84 km SSW of Campoverde, Peru",earthquake,9.5,7.3,0.125,18,reviewed,us,us
2020-06-14T01:06:17.525Z,27.547,127.0662,151.7,4.4,mb,,71,1.286,1.06,us,us6000aeva,2020-07-11T04:43:30.040Z,"137 km NW of Nago, Japan",earthquake,7.7,6.1,0.202,7,reviewed,us,us
2020-06-14T01:04:55.864Z,-20.7432,-178.6226,597.72,4.2,mb,,85,4.331,0.9,us,us6000aevb,2020-07-11T04:42:36.040Z,"Fiji region",earthquake,13.7,7.7,0.106,25,reviewed,us,us
2020-06-14T00:42:27.660Z,17.9193,-66.9465,13,3.01,md,23,222,0.0874,0.14,pr,pr2020166001,2020-06-14T02:08:30.169Z,"7km SW of Guanica, Puerto Rico",earthquake,0.68,0.33,0.11,20,reviewed,pr,pr
2020-06-14T00:38:18.250Z,17.9336,-66.8811,10,2.89,md,23,196,0.0415,0.22,pr,pr2020166002,2020-06-14T02:50:36.650Z,"5km SE of Guanica, Puerto Rico",earthquake,0.63,0.52,0.08,17,reviewed,pr,pr
2020-06-14T00:32:23.210Z,17.9328,-66.7525,7,2.91,md,20,206,0.1336,0.13,pr,pr2020166000,2020-06-14T01:33:35.793Z,"7km SSW of Tallaboa, Puerto Rico",earthquake,0.5,0.23,0.13,12,reviewed,pr,pr
